Date,T
1988-9,10.44
1988-9,10.57
1988-10,10.37
1988-10,10.47
1988-10,11.34
1988-10,11.17
1988-10,11.84
1988-11,13.61
1988-11,11.13
1988-11,12.81
1988-11,13.69
1988-12,14.21
1988-12,18.36
1988-12,15.50
1988-12,13.70
1989-1,14.36
1989-1,14.60
1989-1,14.53
1989-1,16.86
1989-1,15.20
1989-2,16.56
1989-2,18.26
1989-2,15.19
1989-2,19.83
1989-3,18.17
1989-3,14.50
1989-3,13.77
1989-3,12.44
1989-4,14.21
1989-4,12.41
1989-4,9.64
1989-4,13.51
1989-5,11.83
1989-5,11.63
1989-5,9.04
1989-5,10.14
1989-5,5.87
1989-6,8.51
1989-6,9.59
1989-6,5.21
1989-6,5.01
1989-7,7.16
1989-7,5.16
1989-7,4.87
1989-7,7.60
1989-8,7.14
1989-8,6.83
1989-8,6.84
1989-8,6.46
1989-8,7.33
1989-9,8.20
1989-9,8.21
1989-9,8.90
1989-9,8.83
1989-10,8.84
1989-10,9.93
1989-10,10.69
1989-10,10.71
1989-10,10.77
1989-11,10.59
1989-11,12.80
1989-11,15.09
1989-11,15.89
1989-12,15.17
1989-12,13.14
1989-12,13.46
1989-12,13.33
1990-1,14.89
1990-1,17.61
1990-1,13.40
1990-1,16.33
1990-1,14.39
1990-2,15.21
1990-2,15.06
1990-2,16.46
1990-2,18.73
1990-3,13.87
1990-3,12.64
1990-3,15.53
1990-3,14.41
1990-4,14.36
1990-4,14.74
1990-4,13.07
1990-4,11.11
1990-5,12.87
1990-5,9.96
1990-5,9.26
1990-5,8.17
1990-5,7.89
1990-6,7.87
1990-6,7.43
1990-6,8.56
1990-6,6.36
1990-7,7.89
1990-7,8.36
1990-7,9.21
1990-7,7.97
1990-7,7.76
1990-8,7.49
1990-8,8.46
1990-8,6.81
1990-8,8.30
1990-9,7.80
1990-9,9.77
1990-9,9.63
1990-9,10.26
1990-10,10.06
1990-10,10.30
1990-10,10.51
1990-10,13.51
1990-10,13.36
1990-11,14.10
1990-11,11.90
1990-11,11.86
1990-11,13.37
1990-12,16.86
1990-12,12.84
1990-12,13.93
1990-12,13.90
